Wed. 26/06/24,Milton Community Centre,Joint A & B: 20:20 - 21.50
Wed. 10/07/24,Milton Community Centre,Joint A & B: 20:20 - 21.50
Wed. 24/07/24,Milton Community Centre,Joint A & B: 20:20 - 21.50
Wed. 07/08/24,Milton Community Centre,Joint A & B: 20:20 - 21.50
Sat. 07/09/24,TBC (Training Camp),Joint A & B: TBC
